WBS Number,Title,开始,结束,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
1,专注,2018/10/8 上午10:00,2019/1/3 上午10:00,3 月 3 天,11 月 1 周 3 天,87%,,,2018/10/8 上午10:00,0 秒,2019/1/3 上午10:00,0 秒,,,,,,"¥26,160.00","¥26,160.00"
1.1,项目范围规划,2018/10/8 上午10:00,2018/10/12 上午10:00,4 天,1 月 4 天,100%,,,2018/10/8 上午10:00,0 秒,2018/10/12 上午10:00,0 秒,,,,,,"¥2,600.00","¥2,600.00"
1.1.1,确定项目范围,2018/10/8 上午10:00,2018/10/11 下午4:00,4 天,1 月 4 天,100%,,褚旭; 朱佳俊; 宋子涵; 吴嘉政; 施健一; 会议室,2018/10/8 上午10:00,0 秒,2018/10/11 下午4:00,0 秒,,,,,500,"¥2,600.00","¥2,600.00"
1.1.2,软件规划完成,2018/10/12 上午10:00,2018/10/12 上午10:00,,,100%,,,2018/10/12 上午10:00,0 秒,2018/10/12 上午10:00,0 秒,,,1.1.1,,,,
1.2,需求分析,2018/10/12 上午10:00,2018/10/22 上午10:00,1 周 1 天,1 月 3 周 1 天,100%,,,2018/10/12 上午10:00,0 秒,2018/10/22 上午10:00,0 秒,,,1.1,,,"¥4,200.00","¥4,200.00"
1.2.1,业务需求分析,2018/10/12 上午10:00,2018/10/15 下午4:00,2 天,2 周 2 天,100%,,褚旭; 施健一; 宋子涵; 吴嘉政; 朱佳俊; 会议室,2018/10/12 上午10:00,0 秒,2018/10/15 下午4:00,0 秒,,,,,500,"¥1,400.00","¥1,400.00"
1.2.2,用户需求分析,2018/10/16 上午10:00,2018/10/17 下午4:00,2 天,2 周 2 天,100%,,褚旭; 施健一; 宋子涵; 吴嘉政; 朱佳俊; 会议室,2018/10/16 上午10:00,0 秒,2018/10/17 下午4:00,0 秒,,,1.2.1,,500,"¥1,400.00","¥1,400.00"
1.2.3,功能需求分析,2018/10/18 上午10:00,2018/10/19 下午4:00,2 天,2 周 2 天,100%,,褚旭; 施健一; 宋子涵; 吴嘉政; 朱佳俊; 会议室,2018/10/18 上午10:00,0 秒,2018/10/19 下午4:00,0 秒,,,1.2.2,,500,"¥1,400.00","¥1,400.00"
1.2.4,需求分析完成,2018/10/22 上午10:00,2018/10/22 上午10:00,,,100%,,,2018/10/22 上午10:00,0 秒,2018/10/22 上午10:00,0 秒,,,1.2.3,,,,
1.3,可行性分析,2018/10/22 上午10:00,2018/10/23 下午4:00,2 天,2 周 2 天,100%,,施健一; 褚旭; 朱佳俊; 宋子涵; 吴嘉政; 会议室,2018/10/22 上午10:00,0 秒,2018/10/23 下午4:00,0 秒,,,1.2,,500,"¥1,400.00","¥1,400.00"
1.4,系统设计,2018/10/24 上午10:00,2018/11/7 上午10:00,2 周,2 月 3 周 1 天,100%,,,2018/10/24 上午10:00,0 秒,2018/11/7 上午10:00,0 秒,,,1.3,,,"¥6,320.00","¥6,320.00"
1.4.1,概要设计,2018/10/24 上午10:00,2018/11/6 下午4:00,2 周,2 月,100%,,,2018/10/24 上午10:00,0 秒,2018/11/6 下午4:00,0 秒,,,,,,"¥4,400.00","¥4,400.00"
1.4.1.1,数据字典设计,2018/10/24 上午10:00,2018/10/29 下午4:00,4 天,3 周 1 天,100%,,宋子涵; 朱佳俊; 褚旭; 会议室,2018/10/24 上午10:00,0 秒,2018/10/29 下午4:00,0 秒,,,,,500,"¥1,640.00","¥1,640.00"
